Name,Address,Borough,Surface Type,Permit Status,Number of Courts,Dates Open,Hours Open,Description/Local Tips,Latitude,Longitude,Google Maps Embed Code
96th St Clay,"Hudson River Greenway, New York, NY 10025",Manhattan,Clay,Required & Enforced,10,April ~ November (Thanksgiving Day),7:00am ~ 3:00pm/8:00pm (varies by month),"• No Permit? A $15 day pass is available at courts. (Credit card/virtual wallet preferred, cash accepted).
• Amenities:
• Fountains, RCTA-provided water (during playing hours).
• Portable restrooms nearby.
• Free parking lot (accessible from Henry Hudson Pkwy). Sign up sheet becomes available at 6 am (Daily)",40.79705873,-73.97694289,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3020.4121120063924!2d-73.97691069999999!3d40.7969369!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f6295c295bc7%3A0xe608b9fd987fbc3b!2s96th%20Street%20Clay%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1753836665665!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Central Park Tennis Center,"1 West 96th Street & Central Park West, New York, NY 10025.",Manhattan,Har-Tru,Required & Enforced,30,April ~ November (Thanksgiving Day),7:00am ~ 2:00pm/8:00pm (varies by month),"• Courts: 30 courts total (26 Har-Tru, 4 Hard). Well-kept with good baseline spacing.
• Season & Hours: April - November (until Thanksgiving Day). Hours vary by month (typically 7:00 AM - 2:00 PM / 8:00 PM).
• Daily Conditions Hotline: Call (212) 280-0206 for daily court conditions (closed during rain) and availability.
• Permits & Sign-Ups:
• NYC Parks Department tennis permit required.
• Sign-ups: Sheets come out daily at 6:30 AM at the reception near the balcony.
• Strict Rules: Both players must be signed up 15 mins before the hour. For doubles, all four players must sign up 15 mins before the first hour for 2 hours of play. Late players lose their court.
• Minimum two players on court. No practicing serves alone.
• Wait for the hourly bell before entering.
• Amenities: Water fountains and restroom facilities nearby. As always, be respectful, communicate clearly with other players, and if others are waiting, please limit play to the appropriate time and vacate promptly.",40.79026065,-73.96219475,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d6041.46569704898!2d-73.962066!3d40.789887!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25988f989506d%3A0x6d87771a059466ba!2sCentral%20Park%20Tennis%20Center!5e0!3m2!1sen!2sus!4v1753843777019!5m2!1sen!2sus"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Fort Washington ,"Hudson River Greenway, New York, NY 10032",Manhattan,Hard,"Required, but Rarely Checked",10,All Year,8:00am ~ 4:00pm/7:00pm (varies by month),"• Often walk-on play with minimal to no wait.
• As always, be respectful, communicate clearly with other players, and if others are waiting, please limit play to the appropriate time and vacate promptly.",40.84804731,-73.94627393,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1186.2273706892338!2d-73.94673355914189!3d40.84731684491626!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f6980cc6feaf%3A0x5531ff9170b553db!2sFort%20Washington%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1753845109925!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Frederic Johnson,"W. 151st St &, Adam Clayton Powell Jr Blvd, New York, NY 10039",Manhattan,Hard,Not Required,8,All Year,8 am to 8 pm (Floodlights),"• First-come, first-served.
• Add or check wait times here.
• When at the court, scan the QR for quick access — your update helps others, and theirs helps you.
• As always, be respectful, communicate clearly with other players, and if others are waiting, please limit play to the appropriate time and vacate promptly.",40.82486852,-73.93575638,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d870.0255876568546!2d-73.93657569424073!3d40.82525454846296!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f67f97cdc281%3A0x37d0dc255743f071!2sFrederick%20Johnson%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1753885702463!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Howard Bennett,"32 W 136th St, New York, NY 10037",Manhattan,Hard,"Required, but Rarely Checked",2,All Year, 8:00 AM – 5:00 PM/8:00 PM (varies by month),"• Often walk-on play with minimal to no wait.
• As always, be respectful, communicate clearly with other players, and if others are waiting, please limit play to the appropriate time and vacate promptly.",40.81374848,-73.93858378,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d451.45271194240325!2d-73.9384057292329!3d40.813897800617774!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f7274c1bb3dd%3A0xc521530e494e2bbe!2sTennis%20courts!5e1!3m2!1sen!2s!4v1753887867977!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Inwood Hill Tennis Courts,"Seaman Ave &, Isham St, New York, NY 10034",Manhattan,Hard,"Required, but Rarely Checked",9,All Year,8:00am ~ 8:00pm ,,40.87014753,-73.92211639,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d4378.810778036918!2d-73.92256795895491!3d40.871395680173364!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f3f0d241cca7%3A0xbb3bf9268f0ba221!2sInwood%20Hill%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753887917654!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Riverside Park Tennis Courts," W 119th St, New York, NY 10025",Manhattan,Hard,Required & Enforced,10,All Year, 7:00 AM – 4:00 PM/8:00 PM (varies by month),"• Sign-Ups:
• Sheet posted around 7:00 AM.
• Strategy: Arrive early to guarantee your court time.
• Reservations:
• Available for 2 of 10 courts via the Park Organization website.
• As all reservations through the park organization its 15 dollars per hour",40.8120908,-73.96528444,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3019.7280711100702!2d-73.96530589999999!3d40.81196899999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2f63f540ce893%3A0x859d23c027f737cb!2sRiverside%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753890131720!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Sutton East Tennis Courts,"488 E 60th St, New York, NY 10022",,Clay,Required & Enforced,8,All Year, 6:00am ~ 11:00pm,"• 8 indoor red clay courts.
• Access:
• In Season (April-Nov): Open to NYC Parks Permit holders.
• Off-Season (Dec-Mar): Pay-to-play for non-members (Expensive).
• Sign-Ups:
• Courts open for play at 6:00 AM.
• Recommended to arrive around 5:30 AM to guarantee ideal court time. You can sign up before 6 AM.
• Amenities: Pro shop, restrooms, and changing rooms available.",40.75915283,-73.95987118,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3022.1268761568394!2d-73.9600643!3d40.75923409999999!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c258e7bd524377%3A0x26a1758d4ef7d3b2!2sSutton%20East%20Tennis%20Club!5e1!3m2!1sen!2s!4v1753902008608!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Washington Market Tennis Court," Washington Market Park, Chambers St & Tribeca Bridge, New York, NY 10013",Manhattan,Hard,Required & Enforced,1,April – November (Thanksgiving Day),6:00am - 11 pm (Floodlights),"• Sign-Up: Arrive around 5:45 AM to secure your ideal time on the sign-up sheet which will be posted right outside the entrance. Code pad on entrance door. Once signed up, code to enter the courts will be shared with you, code changes constantly.
• Amenities: Benches, umpire's chair",40.71737656,-74.01228939,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024.037934630371!2d-74.0122572!3d40.7171814!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25a1e80616f7b%3A0xfba1af686a60bbf5!2sWashington%20Market%20Park%20Tennis%20Court!5e1!3m2!1sen!2s!4v1753901988226!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Brian Watkins Tennis Courts,"FDR Dr, New York, NY 10002, United States",Manhattan,Hard,Not Required,12,All Year,7 am til dusk,"• First-come, first-served.
• Add or check wait times here.
• When at the court, scan the QR for quick access — your update helps others, and theirs helps you. *Find your spot: Speak with players waiting, or add your racket to the fence line (common during peak times).
• Court Time Limits:
• Singles: 1 hour.
• Doubles (4 players): 2 hours.
• Etiquette: Please be respectful, communicate openly, and track your time.
• Location Note: Accessible via Delancey St pedestrian bridge between Delancey and Baruch. Walk all the way down to the river from there and you’ll find the pedestrian bridge which will help you cross the highway and reach the courts.
• Amenities: Water fountain near mini soccer field, just south of courts.",40.7155044442342,-73.9754842711645,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3024.1203885827304!2d-73.975495!3d40.7153662!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2597d937406cb%3A0xa8a5ded166e7fdce!2sBrian%20Watkins%20Tennis%20Center!5e1!3m2!1sen!2s!4v1753904716683!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
